,shit,bitch,damn,dick,fuck,ass,hell
1980,0.0011446012972148034,0.0,0.0331934376192293,0.0,0.0007630675314765357,0.0,0.029759633727584892
1981,0.0,0.0,0.014731369150779897,0.0,0.0,0.0,0.01559792027729636
1982,0.0,0.002442002442002442,0.015466015466015465,0.0,0.0,0.002849002849002849,0.015466015466015465
1983,0.0,0.0016440608302507192,0.005343197698314837,0.0,0.006576243321002877,0.004932182490752158,0.009042334566378957
1984,0.008699090549624358,0.009885330170027679,0.008699090549624358,0.0,0.005140371688414393,0.0031633056544088573,0.011862396204033215
1985,0.007323026851098454,0.0004068348250610252,0.010984540276647681,0.0,0.0024410089503661514,0.0008136696501220504,0.023596419853539462
1986,0.0,0.0,0.026559356136820925,0.0,0.0,0.0,0.015291750503018108
1987,0.0016420361247947454,0.0,0.006157635467980296,0.0008210180623973727,0.0008210180623973727,0.0,0.013546798029556651
1988,0.0012547051442910915,0.002091175240485153,0.006273525721455458,0.0,0.003345880384776244,0.0029276453366792136,0.043496445002091176
1989,0.0037437603993344427,0.0,0.01913477537437604,0.006239600665557404,0.010815307820299502,0.012479201331114808,0.02454242928452579
1990,0.0,0.004137360364087712,0.03971865949524204,0.004551096400496483,0.0,0.00703351261894911,0.03847745138601572
1991,0.010475774770842427,0.01178524661719773,0.04146660846791794,0.00392841553906591,0.011348756001745963,0.012658227848101266,0.03579223046704496
1992,0.04202366381068951,0.02692778457772338,0.08486332109343125,0.00897592819257446,0.032639738882088945,0.02937576499388005,0.03875968992248062
1993,0.09660033167495855,0.04311774461028192,0.12230514096185738,0.039386401326699835,0.09369817578772803,0.08706467661691543,0.07048092868988391
1994,0.09302325581395349,0.05467156262749898,0.10689514483884129,0.0208078335373317,0.09302325581395349,0.08567931456548347,0.0828233374133007
1995,0.1265926839293054,0.05589806822852446,0.07398273736128237,0.026715988491574187,0.09658857377722976,0.09124537607891492,0.061241265926839296
1996,0.09454705364995603,0.06772207563764292,0.1059806508355321,0.027264731750219876,0.09718557607739665,0.0919085312225154,0.09850483729111698
1997,0.07933104631217838,0.08704974271012007,0.06732418524871354,0.03773584905660377,0.0879073756432247,0.07246998284734134,0.0330188679245283
1998,0.11057481351469943,0.0776656428258008,0.07722685388328214,0.03817463799912242,0.12768758227292673,0.08205353225098727,0.04695041684949539
1999,0.08047437526471835,0.054637865311308764,0.08301567132570944,0.02626005929690809,0.07327403642524354,0.05506141465480729,0.06946209233375689
2000,0.13857086458744572,0.08882747729964469,0.06277141729174891,0.05566521910777734,0.12001579155151994,0.08843268851164626,0.07066719305171733
2001,0.18557968045882836,0.10569438754608768,0.11020073740270381,0.02867677181482999,0.15444489963129865,0.10282671036460467,0.06472757066775911
2002,0.13404605263157895,0.07935855263157894,0.14679276315789475,0.011924342105263159,0.13856907894736842,0.078125,0.07236842105263158
2003,0.14652317880794702,0.11548013245033113,0.12334437086092716,0.03269867549668874,0.16390728476821192,0.13658940397350994,0.09105960264900662
2004,0.17561381606325427,0.14148980441115272,0.12193091968372867,0.04744069912609238,0.19225967540574282,0.15439034540158136,0.05784436121514773
2005,0.13569438917628332,0.09868682849184242,0.1408674890569041,0.029048945483485872,0.17508953442101075,0.13131715081575807,0.0684440907282133
2006,0.1362353889560661,0.11487303506650544,0.10721483272873841,0.02015316404675534,0.15155179363160015,0.08464328899637243,0.10479645304312778
2007,0.11797752808988764,0.0826645264847512,0.15409309791332262,0.027287319422150885,0.11717495987158909,0.06701444622792938,0.07463884430176565
2008,0.08401400233372229,0.06262154803578374,0.1205756514974718,0.022170361726954493,0.08556981719175417,0.08168028004667445,0.07273434461299105
2009,0.10993485342019543,0.08265472312703583,0.0985342019543974,0.02687296416938111,0.10464169381107492,0.09324104234527687,0.08876221498371335
2010,0.19655313910545752,0.15880180549856382,0.12761592121460813,0.04759950759130078,0.1768567911366434,0.11858842839556832,0.06975789905621665
2011,0.17967874486365334,0.13298468434815092,0.12364587224505043,0.04370564064251027,0.16623085543518865,0.09114680612626073,0.09338812103100486
2012,0.18597194388777555,0.1627254509018036,0.1154308617234469,0.03486973947895792,0.18316633266533067,0.10100200400801604,0.1186372745490982
2013,0.17565922920892496,0.18580121703853955,0.1334685598377282,0.03610547667342799,0.20446247464503042,0.11724137931034483,0.11480730223123732
2014,0.13566653558788833,0.1718442784113252,0.15493511600471885,0.04758159653952025,0.18993314982304366,0.13291388124262682,0.08611875737318128
2015,0.18990862137465236,0.17759237187127533,0.13071116408422725,0.04847040127135479,0.26062773142630113,0.10448947159316647,0.10369487485101311
2016,0.21189146049481244,0.24461292897047088,0.10614525139664804,0.06983240223463687,0.28890662410215484,0.08659217877094973,0.05945730247406225
2017,0.26208251473477406,0.300196463654224,0.16463654223968566,0.06168958742632613,0.29351669941060904,0.12102161100196464,0.06365422396856582
2018,0.3878835562549174,0.2946498819826908,0.16168371361132966,0.07592446892210858,0.35877261998426435,0.11526357199055862,0.06923682140047208
2019,0.2890595009596929,0.2648752399232246,0.13397312859884836,0.11516314779270634,0.31285988483685223,0.15163147792706333,0.06871401151631477
2020,0.31797235023041476,0.3020527859237537,0.17134478424801006,0.10138248847926268,0.3426895684960201,0.13741097612065353,0.08839547549224969
2021,0.30962004850444624,0.28698464025869036,0.16572352465642684,0.08124494745351657,0.4042037186742118,0.16370250606305578,0.11236863379143087
2022,0.2608872608872609,0.2258852258852259,0.20472120472120472,0.06145706145706146,0.29507529507529506,0.13512413512413513,0.16442816442816444
2023,0.23767082590612001,0.20023767082590613,0.2014260249554367,0.0748663101604278,0.26737967914438504,0.11942959001782531,0.14200831847890671
